"Börsdata ID","Bolagsnamn","ROIC - Senaste","Nettoskuld - Senaste","EV/EBIT - Senaste","EV/FCF - Senaste","Capex - Per Aktie","P/B - Senaste","PEG - Senaste","Börsvärde - Senaste","RSI - RSI(14)","MA -  5/20","MA -  50/200","Kursutveck. - Utveck.  1m"
"1325","Bonava B","-5,1%","18%","288,0","10,2","0,17","0,5",,"3280","53,5","3,3%","5,0%","19,7%"
"1474","Bonesupport","26,3%","-24%","151,6","423,7","-0,10","34,9","-4,1","25758","63,1","6,5%","15,2%","13,3%"
"41","Bong Ljungdahl","-1,2%","29%","14,1","16,0","-0,15","0,3",,"156","43,6","-1,3%","-5,2%","-4,9%"
"779","Bonäsudden","2,7%","42%","50,2","120,7","-5,19","0,9","0,6","287","61,3","0,8%","2,4%","4,3%"
"1463","Boozt","13,0%","-5%","17,6","663,9","-3,51","2,8","0,4","8263","36,4","-4,6%","5,4%","-5,2%"
"508","Botnia Exploration","14,9%","-8%","-75,4","-12,5","-1,12","3,1","0,1","510","48,3","-0,8%","1,6%","-5,3%"
"244","Boule Diagnostics","-73,2%","7%","-1,5","-9,6","-2,26","1,2",,"336","45,1","-2,7%","1,8%","-7,5%"
"2334","BPC Instruments","27,1%","-31%","25,9","39,9","-0,12","6,6","4,2","422","39,7","-2,0%","-1,9%","4,4%"
"446","BrainCool","-38,5%","-19%","-11,3","-6,8","-0,03","3,5",,"507","71,1","26,6%","-21,6%","50,2%"
"1320","BrandBee","-137,0%","-0%","-0,1","-0,1","-2,63","0,1",,"4","28,5","-28,9%","-61,9%","-54,6%"
"909","Bravida","10,5%","9%","13,7","16,1","-2,91","2,1","-1,3","19016","55,5","0,3%","5,0%","5,3%"
"268","Bredband2","16,5%","11%","14,4","15,1","-0,12","3,5","0,6","1981","58,2","1,2%","0,4%","2,2%"
"421","BrightBid","-82,8%","-15%","-0,8","-0,8","-0,31","0,8",,"73","49,7","-4,6%","-42,9%","-10,4%"
"2204","Brilliant Future","-33,2%","-20%","-8,5","-10,9","-0,94","2,0",,"65","65,6","-0,5%","-8,8%","7,8%"
"42","Brinova Fastigheter","2,3%","60%","46,7","-44,2","-2,63","0,6","1,3","1822","49,7","-0,6%","-14,0%","-1,3%"
"586","Briox","-108,3%","-31%","-10,0","-9,6","-0,19","8,2",,"300","34,5","-12,5%","62,5%","-19,6%"
"43","BTS Group","24,5%","-8%","17,6","26,6","-9,92","3,3","0,2","5528","51,1","1,3%","-4,9%","5,9%"
"2308","Bubbleroom","-31,5%","-18%","-1,0","8,0","-0,03","0,5",,"56","32,9","-7,5%","-19,5%","-23,5%"
"375","Bufab","7,5%","37%","23,0","33,7","-13,32","4,4","-7,6","17241","47,1","-0,7%","8,6%","-3,2%"
"254","Bulten","4,0%","27%","9,5","24,6","-10,15","0,7","0,3","1469","51,2","1,7%","-4,8%","-6,9%"
"44","Bure Equity","23,9%","-4%","4,5","-41,9","-10,51","1,1","0,2","26508","28,1","-7,5%","1,4%","-9,5%"
"45","Byggmax","1,7%","42%","30,4","6,9","-1,33","1,2","0,3","2922","53,1","0,7%","13,2%","4,4%"
"598","Byggmästare AJ Ahlström","26,4%","-1%","3,1","124,7","-0,32","0,8","0,0","1895","44,3","-0,8%","3,9%","-8,8%"
"1379","Byggpartner","9,1%","9%","11,2","18,9","-0,68","1,7","0,1","816","66,7","9,5%","-10,5%","13,9%"
"1775","CAG Group","18,9%","-9%","11,1","24,6","-0,01","2,5","-1,8","788","53,5","-0,5%","0,7%","0,0%"
"921","Camurus","92,0%","-75%","77,3","101,2","-0,51","11,9","-12,5","39155","68,3","5,2%","-3,0%","14,9%"
"2296","Candles Scandinavia","-19,3%","16%","-9,9","-5,4","-1,91","1,8",,"141","33,5","-6,2%","-13,0%","-11,1%"
"748","Cantargia","-193,9%","-19%","-1,7","-2,6","0,30","2,7",,"427","57,0","2,4%","-43,5%","-4,5%"
"1127","Carasent","-6,1%","-21%","-31,4","-20,8","-1,54","2,2",,"1731","57,9","3,7%","15,9%","9,8%"
"1882","Carbiotix","-75,9%","-5%","-2,7","-2,1","-0,63","2,0",,"50","56,0","-3,0%","27,6%","3,0%"
"1693","Cardeon","-40,0%","-0%","-1,9","-15,9","0,01","0,7",,"46","62,2","23,1%","22,1%","48,6%"
"2319","Careium","6,9%","16%","11,9","27,0","-2,33","1,2","0,3","832","65,4","6,0%","-3,4%","20,8%"
"2335","Case Group","6,6%",,"23,9","19,6","0,01","1,8","0,0","528","43,6","-5,9%","10,0%","-2,4%"
"46","Castellum","2,5%","37%","24,2","26,9","0,09","0,7","15,8","59087","50,6","0,0%","-9,0%","-1,5%"
"1607","Catella A","0,8%","32%","37,4","31,9","0,31","1,4","0,4","2809","67,8","6,2%","-5,5%","20,5%"
"274","Catella B","0,8%","32%","37,5","32,0","0,31","1,4","0,4","2818","80,8","7,4%","-5,0%","17,9%"
"47","Catena","2,4%","38%","32,8","-13,2","-81,76","1,1","5,8","26921","37,9","-5,3%","-9,4%","-8,9%"
"248","Cavotec","5,1%","10%","16,9","26,6","0,01","2,8","0,0","1931","43,4","-2,4%","-2,3%","-9,5%"
"2023","CDON","-25,0%","-17%","-5,6","-71,5","-2,40","1,3",,"774","47,5","0,7%","-18,2%","-17,2%"
"2148","Cedergrenska","8,5%","-7%","15,1","7,8","-2,20","2,4","0,2","472","63,5","5,0%","14,2%","16,7%"
"387","Cell Impact","-46,3%","4%","-0,8","-1,0","-0,02","0,3",,"68","34,1","-10,4%","-42,2%","-18,1%"
"49","CellaVision","18,7%","-12%","23,0","33,4","-3,30","5,2","3,7","4212","27,9","-7,6%","-14,5%","-19,5%"
"1337","Cereno Scientific","-39,1%","15%","-21,0","-8,4","-0,30","8,0",,"1527","64,7","1,8%","-5,5%","6,1%"
"2320","ChargePanel",,"-47%","-2,8","-2,2",,"6,6",,"43","43,8","-3,2%","-5,0%","-3,4%"
"2140","checkin.com","-10,5%","-8%","-19,4","-36,5","-0,79","1,8",,"365","53,9","-7,5%","-36,0%","-9,3%"
"2119","Cheffelo","6,9%","-1%","10,5","5,9","-0,92","1,0","0,2","446","75,0","9,3%","10,3%","22,2%"
"1389","ChemoTech","-212,5%","-11%","-1,3","-1,4","-0,00","2,4",,"28","54,0","2,7%","-27,9%","17,5%"
"1414","Chordate Medical","-271,2%","-24%","-0,2","-0,2",,"0,7",,"45","50,8","1,0%","-49,8%","-24,9%"
"1013","CHOSA Oncology","-101,8%","-49%","-0,9","-2,6","-0,80","1,0",,"64","62,0","17,4%","-19,0%","38,0%"
"1676","Cibus Nordic","2,2%","56%","42,2","-73,5","-2,09","1,3","-1,3","12385","37,0","-4,5%","1,6%","-8,9%"
"2539","Cinclus Pharma",,"-94%","-0,7","-0,7",,"1,2",,"691","25,2","-11,4%",,"-19,4%"
"2476","Cinis Fertilizer","-22,6%","57%","-6,1","-2,7","-2,60","1,2",,"296","54,0","-14,3%","-66,1%","-35,6%"
"2077","Cint Group","-2,4%","13%","-23,1","-67,4","-0,09","0,3",,"1443","25,7","-7,8%","-8,3%","-19,3%"
"2049","CirChem","-2,7%","-5%","944,3","-7,6","-0,20","2,2",,"105","35,3","-8,1%","22,1%","-10,6%"
"2362","Circle Energy","-61,1%","-1%","-0,1","-0,1","0,01","0,0",,"9","62,2","-1,1%","-47,2%","138,5%"
"51","Clas Ohlson","24,0%","23%","16,8","18,5","-9,41","7,9","0,1","15888","53,8","-0,5%","22,8%","5,4%"
"397","Clavister","-49,8%","42%","-90,3","-30,9","-0,13","-11,9",,"819","74,7","25,9%","29,8%","45,0%"
"1315","Clean Motion","-28,2%","-0%","-1,5",,,"0,4",,"31","46,7","-3,1%","-64,0%","-6,5%"
"416","Clemondo","5,5%","13%","12,8","8,8","-0,21","0,9","-0,7","103","60,2","3,1%","-12,0%","4,2%"
"1542","Climeon","-38,9%","-8%","-0,8","-0,7","-0,87","0,4",,"105","35,4","-7,5%","-27,3%","-20,0%"
"521","Clinical Laserthermia","-110,3%","-28%","-0,9","-0,8","-0,37","1,1",,"74","50,2","-6,3%","-33,2%","-6,2%"
